,year,km_driven,owner,seller_type,seats,fuel,transmission,mileage,engine,max_power,selling_price
0,,145500.0,,Individual,5.0,Diesel,Manual,23.4,1248.0,74.0,5451.9
1,2014.0,120000.0,Second Owner,Individual,5.0,Diesel,Manual,21.14,1498.0,103.52,4482.68
2,2006.0,140000.0,Third Owner,Individual,5.0,Petrol,Manual,17.7,13524.0,78.0,1914.22
3,2010.0,127000.0,First Owner,Individual,5.0,Diesel,Manual,23.0,,,2725.95
4,2007.0,120000.0,First Owner,Individual,5.0,Petrol,Manual,16.1,1298.0,88.2,1574.99
5,2017.0,45000.0,First Owner,Individual,5.0,Petrol,Manual,20.14,9638.0,81.86,5330.75
6,2007.0,175000.0,First Owner,Individual,5.0,LPG,Manual,24.22,1061.0,57.5,1163.07
7,2001.0,5000.0,Second Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,545.19
10,2014.0,68000.0,Second Owner,Individual,5.0,Diesel,Manual,19.01,18567.0,108.45,6057.67
11,2005.0,100000.0,Second Owner,Individual,5.0,Petrol,Manual,17.3,993.0,60.0,1114.61
12,2009.0,140000.0,Second Owner,Individual,5.0,Diesel,Manual,19.3,1248.0,73.9,3392.29
14,2009.0,90000.0,Second Owner,Individual,5.0,Petrol,Manual,18.9,1061.0,67.0,2180.76
15,2016.0,40000.0,First Owner,Individual,5.0,Petrol,Manual,18.15,1198.0,82.0,4846.14
16,2016.0,70000.0,Second Owner,Individual,7.0,Diesel,Manual,24.52,1248.0,88.5,9425.73
17,2012.0,53000.0,Second Owner,Individual,5.0,Diesel,Manual,23.0,1396.0,90.0,6057.67
18,2002.0,80000.0,Second Owner,Individual,5.0,Petrol,Manual,19.7,796.0,46.3,1817.3
19,2016.0,100000.0,First Owner,Individual,5.0,Diesel,Manual,22.54,1396.0,88.73,8238.43
20,2011.0,100000.0,Second Owner,Individual,5.0,Diesel,Manual,21.0,1461.0,64.1,2108.07
21,2017.0,50000.0,First Owner,Individual,5.0,Diesel,Manual,25.5,1498.0,98.6,11509.57
23,2012.0,72000.0,First Owner,Individual,5.0,Diesel,Manual,21.5,1248.0,88.8,7269.2
24,2018.0,35000.0,First Owner,Individual,5.0,Petrol,Manual,20.3,1199.0,83.81,6057.67
25,2016.0,45000.0,First Owner,Individual,5.0,Petrol,Manual,21.4,1197.0,83.1,
26,2017.0,28000.0,First Owner,Individual,5.0,Petrol,Manual,24.7,796.0,47.3,3331.72
27,2013.0,70000.0,First Owner,Individual,7.0,Diesel,Manual,18.2,1248.0,73.8,3634.6
28,2009.0,120000.0,First Owner,Individual,5.0,Petrol,Manual,18.9,1061.0,67.0,2665.37
29,2018.0,25000.0,First Owner,Individual,8.0,Petrol,Manual,16.8,796.0,34.2,301586.22
30,2017.0,70000.0,First Owner,Individual,5.0,Diesel,Manual,24.3,1248.0,88.5,8117.28
32,2012.0,35000.0,Second Owner,Individual,5.0,Petrol,Manual,14.0,796.0,35.0,1817.3
33,2018.0,2388.0,First Owner,Individual,5.0,Petrol,Manual,18.6,1197.0,81.83,8844.2
34,2017.0,16200.0,First Owner,Individual,5.0,Diesel,Manual,24.3,1248.0,88.5,7874.97
35,2019.0,10000.0,Second Owner,Individual,4.0,CNG,Manual,46.816,796.0,40.3,3998.06
36,2019.0,15000.0,First Owner,Individual,5.0,Petrol,Manual,23.95,998.0,67.1,4434.21
38,2016.0,42000.0,First Owner,Individual,5.0,Petrol,Manual,20.63,,,
39,2011.0,60000.0,Second Owner,Individual,7.0,Diesel,Manual,13.93,2179.0,138.03,5149.02
40,2012.0,76000.0,First Owner,Individual,4.0,Petrol,Manual,16.1,796.0,37.0,
41,2019.0,5000.0,First Owner,Individual,5.0,Petrol,Automatic,16.0,1368.0,160.77,25442.21
42,2018.0,28900.0,First Owner,Dealer,5.0,Petrol,Manual,17.8,1497.0,117.3,11206.69
