year,km_driven,seats,mileage,engine,max_power,selling_price,owner_First Owner,owner_Fourth & Above Owner,owner_Test Drive Car,owner_Third Owner,seller_type_Dealer,seller_type_Trustmark Dealer,fuel_CNG,fuel_Diesel,fuel_LPG,transmission_Automatic
2014.0,120000.0,5.0,21.14,1498.0,103.52,4482.68,0,0,0,0,0,0,0,1,0,0
2007.0,120000.0,5.0,16.1,1298.0,88.2,1574.99,1,0,0,0,0,0,0,0,0,0
2007.0,175000.0,5.0,24.22,1061.0,57.5,1163.07,1,0,0,0,0,0,0,0,1,0
2001.0,5000.0,4.0,16.1,796.0,37.0,545.19,0,0,0,0,0,0,0,0,0,0
2005.0,100000.0,5.0,17.3,993.0,60.0,1114.61,0,0,0,0,0,0,0,0,0,0
2009.0,140000.0,5.0,19.3,1248.0,73.9,3392.29,0,0,0,0,0,0,0,1,0,0
2009.0,90000.0,5.0,18.9,1061.0,67.0,2180.76,0,0,0,0,0,0,0,0,0,0
2016.0,40000.0,5.0,18.15,1198.0,82.0,4846.14,1,0,0,0,0,0,0,0,0,0
2016.0,70000.0,7.0,24.52,1248.0,88.5,9425.73,0,0,0,0,0,0,0,1,0,0
2012.0,53000.0,5.0,23.0,1396.0,90.0,6057.67,0,0,0,0,0,0,0,1,0,0
2002.0,80000.0,5.0,19.7,796.0,46.3,1817.3,0,0,0,0,0,0,0,0,0,0
2016.0,100000.0,5.0,22.54,1396.0,88.73,8238.43,1,0,0,0,0,0,0,1,0,0
2011.0,100000.0,5.0,21.0,1461.0,64.1,2108.07,0,0,0,0,0,0,0,1,0,0
2017.0,50000.0,5.0,25.5,1498.0,98.6,11509.57,1,0,0,0,0,0,0,1,0,0
2012.0,72000.0,5.0,21.5,1248.0,88.8,7269.2,1,0,0,0,0,0,0,1,0,0
2018.0,35000.0,5.0,20.3,1199.0,83.81,6057.67,1,0,0,0,0,0,0,0,0,0
2017.0,28000.0,5.0,24.7,796.0,47.3,3331.72,1,0,0,0,0,0,0,0,0,0
2013.0,70000.0,7.0,18.2,1248.0,73.8,3634.6,1,0,0,0,0,0,0,1,0,0
2009.0,120000.0,5.0,18.9,1061.0,67.0,2665.37,1,0,0,0,0,0,0,0,0,0
2017.0,70000.0,5.0,24.3,1248.0,88.5,8117.28,1,0,0,0,0,0,0,1,0,0
2012.0,35000.0,5.0,14.0,796.0,35.0,1817.3,0,0,0,0,0,0,0,0,0,0
2018.0,2388.0,5.0,18.6,1197.0,81.83,8844.2,1,0,0,0,0,0,0,0,0,0
2017.0,16200.0,5.0,24.3,1248.0,88.5,7874.97,1,0,0,0,0,0,0,1,0,0
2019.0,10000.0,4.0,46.816,796.0,40.3,3998.06,0,0,0,0,0,0,1,0,0,0
2019.0,15000.0,5.0,23.95,998.0,67.1,4434.21,1,0,0,0,0,0,0,0,0,0
2011.0,60000.0,7.0,13.93,2179.0,138.03,5149.02,0,0,0,0,0,0,0,1,0,0
2019.0,5000.0,5.0,16.0,1368.0,160.77,25442.21,1,0,0,0,0,0,0,0,0,1
2018.0,28900.0,5.0,17.8,1497.0,117.3,11206.69,1,0,0,0,1,0,0,0,0,0
2013.0,86300.0,5.0,16.8,1497.0,116.3,5149.02,1,0,0,0,1,0,0,0,0,0
2018.0,23300.0,5.0,18.5,1197.0,83.14,8177.85,1,0,0,0,1,0,0,0,0,1
2014.0,77000.0,7.0,12.55,2982.0,168.5,18173.01,1,0,0,0,1,0,0,1,0,0
2013.0,99000.0,7.0,12.99,2494.0,100.0,8480.74,1,0,0,0,1,0,0,1,0,0
2014.0,27800.0,5.0,14.8,2143.0,120.7,17567.24,0,0,0,0,1,0,0,1,0,1
2015.0,54700.0,5.0,26.0,1498.0,98.6,7269.2,1,0,0,0,1,0,0,1,0,0
2016.0,99000.0,7.0,12.99,2494.0,100.6,11509.57,1,0,0,0,1,0,0,1,0,0
2013.0,33900.0,5.0,17.68,1968.0,174.33,21201.84,0,0,0,0,1,0,0,1,0,1
2013.0,50000.0,5.0,18.53,1968.0,187.74,20474.91,1,0,0,0,1,0,0,1,0,1
2013.0,59000.0,5.0,14.84,2143.0,170.0,17264.36,1,0,0,0,1,0,0,1,0,1
2011.0,120000.0,5.0,21.12,1248.0,88.8,3210.56,1,0,0,0,0,0,0,1,0,0
2011.0,110000.0,5.0,20.36,1197.0,78.9,2301.91,0,0,0,1,0,0,0,0,0,0
